time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
4498.797737	10.891019	7.683692	1.417420	239
4498.797737	10.891019	7.683692	1.417420	240
4499.840093	12.405604	7.688903	1.613443	241
4500.867099	11.519791	7.682562	1.499472	242
4501.909235	12.937223	7.676518	1.685298	243
4502.929031	12.057834	7.645806	1.577052	244
4503.975314	12.929644	7.676245	1.684371	245
4504.992663	12.368946	7.686358	1.609208	246
4506.042923	12.096864	7.681163	1.574874	247
4507.058493	11.672126	7.664110	1.522959	248
4508.112119	11.736358	7.686043	1.526970	249
4509.128949	11.174850	7.657060	1.459418	250
4510.181747	12.615142	7.667859	1.645198	251
4511.200919	11.933870	7.656740	1.558610	252
4512.245623	13.350817	7.682729	1.737770	253
4513.267060	12.677216	7.669933	1.652846	254
4514.308559	13.457315	7.654007	1.758205	255
4515.343223	12.424473	7.684320	1.616860	0
4516.371944	13.446769	7.680663	1.750730	1
4517.405385	12.566934	7.690482	1.634089	2
4518.441131	13.671224	7.693897	1.776892	3
4519.480072	12.986524	7.661765	1.694978	4
4520.510559	13.555106	7.677382	1.765589	5
4521.546647	13.028291	7.668644	1.698904	6
4522.578959	13.074055	7.680535	1.702232	7
4523.611269	12.983493	7.659636	1.695054	8
4524.651320	13.035264	7.674127	1.698599	9
4525.674115	13.769541	7.697671	1.788793	10
4526.723644	12.788961	7.671309	1.667116	11
4527.730981	14.291832	7.680490	1.860797	12
4528.793096	12.118903	7.682864	1.577394	13
4529.788422	14.286620	7.679949	1.860250	14
4530.878330	12.455513	7.688482	1.620022	15
4531.850001	13.123590	7.659357	1.713406	16
4532.937797	13.288061	7.681366	1.729909	17
4533.920089	12.881924	7.685304	1.676176	18
4535.003498	13.733498	7.689183	1.786080	19
4535.987342	12.538539	7.681607	1.632281	20
4537.068810	13.538094	7.656860	1.768100	21
4538.050276	12.210102	7.683469	1.589139	22
4539.138405	13.375042	7.663857	1.745210	23
4540.114525	12.406340	7.671727	1.617151	24
4541.206749	12.888985	7.671333	1.680149	25
4542.182322	13.011399	7.687817	1.692470	26
4543.271481	12.314059	7.664850	1.606562	27
4544.251653	13.675138	7.673644	1.782092	28
4545.335621	12.116012	7.682716	1.577048	29
4546.319985	13.915857	7.672417	1.813751	30
4547.401390	12.285038	7.685378	1.598495	31
4548.386270	14.259474	7.680000	1.856702	32
4549.470380	12.396217	7.670967	1.615991	33
4550.453199	14.376108	7.675745	1.872927	34
4551.538013	12.624815	7.687065	1.642345	35
4552.523940	14.049212	7.655663	1.835140	36
4553.603834	13.093441	7.658705	1.709615	37
4554.593382	14.225715	7.662121	1.856629	38
4555.676059	13.376684	7.664071	1.745376	39
4556.662852	14.573580	7.668660	1.900408	40
4557.724393	12.866070	7.676935	1.675938	41
4558.732198	14.313195	7.640434	1.873348	42
4559.784467	12.805346	7.680957	1.667155	43
4560.805254	13.793882	7.684582	1.795008	44
4561.849125	13.365730	7.656874	1.745586	45
4562.878278	14.282722	7.677083	1.860436	46
